"AadhaarCard","PatientID","Name","Age","Gender","Diagnosis","DiagnosisDate","Symptoms","Treatment","FamilyHistory"
"641564109483","B1284","Nayantara Sur","74","Male","Brain Tumor","2016-01-21","Seizures, Vision Changes, Weakness, Memory Problems","Therapy, Surgery","No Significant History"
"913755391946","B2954","Inaaya  Garg","22","Female","Parkinson's Disease","2018-07-25","Memory Problems, Speech Difficulties, Dizziness","","No Significant History"
"414769071512","B6435","Samiha Kothari","52","Female","Stroke","2022-12-21","Weakness","","Neurological Condition"
"94176732231","B3917","Hridaan Dora","69","Female","Brain Tumor","2018-10-27","Speech Difficulties, Headache","Medication, Surgery","Neurological Condition"
"218469875133","B4053","Hrishita Kibe","24","Female","Epilepsy","2016-06-12","Dizziness","None","Neurological Condition"
"401038283803","B4686","Kavya Rajan","37","Male","Brain Tumor","2016-05-31","Weakness, Seizures, Memory Problems","None","No Significant History"
"974466049392","B8970","Mamooty Bali","70","Female","Alzheimer's Disease","2016-07-23","Speech Difficulties, None, Dizziness","Medication","Neurological Condition"
"272641187769","B3856","Samiha Srivastava","30","Female","Brain Tumor","2020-12-29","Vision Changes, Headache, Memory Problems, Numbness","Surgery, Rehabilitation","No Significant History"
"705046606414","B9413","Jayan Lalla","75","Male","Epilepsy","2016-11-11","Numbness","Rehabilitation","Neurological Condition"
"622397729073","B1153","Dhruv Sehgal","37","Male","Brain Tumor","2020-11-03","","None","No Significant History"
"504621741147","B4915","Parinaaz Lad","33","Female","Parkinson's Disease","2017-08-17","Weakness","","No Significant History"
"371206591153","B4831","Emir Bala","73","Female","Migraine","2020-08-28","Dizziness, Speech Difficulties","Surgery, Therapy","No Significant History"
"177487126764","B6476","Inaaya  Saraf","22","Male","Alzheimer's Disease","2020-10-21","Headache, Weakness","None, Therapy","No Significant History"
"75124028332","B4783","Devansh Dave","42","Female","Migraine","2017-04-07","Dizziness","","No Significant History"
"186006770117","B5343","Tiya Ratti","47","Male","Stroke","2014-10-16","Vision Changes, Dizziness, Headache","Medication, Surgery","Neurological Condition"
"16896513923","B3835","Zara Kant","66","Male","Alzheimer's Disease","2015-04-14","Dizziness","Medication, None","No Significant History"
"747019864867","B1903","Dhruv Amble","64","Female","Migraine","2020-02-22","Headache","Rehabilitation","No Significant History"
"17708287436","B1770","Nayantara Johal","18","Male","Brain Tumor","2019-04-17","Seizures","Therapy","No Significant History"
"84154781159","B2669","Renee Dyal","78","Female","Stroke","2022-12-03","","Therapy, None","Neurological Condition"
"130353879320","B3328","Saanvi Kibe","50","Male","Parkinson's Disease","2015-08-31","Speech Difficulties, Memory Problems, Dizziness","Medication","No Significant History"
"475679411197","B7695","Eva Khatri","37","Female","Alzheimer's Disease","2023-02-26","Dizziness, Vision Changes","","No Significant History"
"821987555456","B7866","Adah De","29","Female","Parkinson's Disease","2016-02-11","Vision Changes, Headache","Surgery, Medication","No Significant History"
"210866041953","B2623","Sahil Babu","64","Male","Parkinson's Disease","2019-03-30","Vision Changes, None, Headache","","Neurological Condition"
"455611190621","B7708","Nakul Chaudhary","43","Male","Migraine","2017-11-21","None","Rehabilitation, Medication","Neurological Condition"
"72614853862","B4247","Aarush Barad","75","Male","Migraine","2016-07-17","Memory Problems, Seizures, None","Surgery","Neurological Condition"
