"AadhaarCard","PatientID","Name","Age","Gender","Diagnosis","DiagnosisDate","Symptoms","Treatment","RiskFactors","FamilyHistory"
"812335724725","H6311","Miraya Basak","38","Male","Valve Disease","2024-01-18","Dizziness, None","","None, Family History","No Significant History"
"716051755977","H2338","Mehul Sehgal","42","Male","Heart Failure","2015-02-19","Palpitations, Swelling","","Smoking","No Significant History"
"612879978530","H5874","Bhamini Behl","47","Male","Coronary Artery Disease","2014-10-30","Dizziness","Lifestyle Changes, Pacemaker","Family History, Diabetes, Smoking","Heart Disease"
"862535554679","H5295","Hrishita Gole","54","Male","Arrhythmia","2021-06-02","Fatigue, Dizziness, Swelling","Angioplasty, Lifestyle Changes","Smoking","Heart Disease"
"120303069091","H4659","Aradhya Chacko","61","Female","Arrhythmia","2015-08-28","Swelling, Dizziness","Medication","High Cholesterol, Obesity","Heart Disease"
"711208219740","H6151","Vidur Sane","53","Male","Valve Disease","2019-07-13","Dizziness, Shortness of Breath, Swelling, Chest Pain","","High Cholesterol, Obesity, Diabetes","Heart Disease"
"356808890138","H7433","Rati Bawa","48","Female","Cardiomyopathy","2017-10-01","Swelling, Fatigue, None, Palpitations","None","None, High Cholesterol, Obesity","No Significant History"
"284451576438","H2501","Reyansh Krish","32","Male","Coronary Artery Disease","2020-02-23","None","Pacemaker","","Heart Disease"
"267513728677","H9570","Bhavin Kannan","57","Male","Arrhythmia","2022-08-02","Chest Pain, None, Fatigue","Valve Replacement","Diabetes, High Cholesterol","Heart Disease"
"118095141596","H8660","Shray Dhingra","42","Female","Cardiomyopathy","2019-06-11","Shortness of Breath, Palpitations, None","Pacemaker","None","No Significant History"
"71596815983","H1796","Pranay Gour","33","Male","Hypertension","2020-11-13","Chest Pain, Shortness of Breath","Pacemaker","None","Heart Disease"
"53203388299","H1335","Mishti Balay","38","Male","Arrhythmia","2019-06-04","","Lifestyle Changes, Pacemaker","Smoking, High Cholesterol, Family History","Heart Disease"
"901382889915","H3593","Gokul Rau","71","Female","Valve Disease","2014-09-29","Shortness of Breath, Swelling, Palpitations","Bypass Surgery","Family History","Heart Disease"
"40286994933","H8102","Aradhya Badal","52","Female","Heart Failure","2022-06-18","Palpitations, Shortness of Breath","Pacemaker, None","Family History, None","No Significant History"
"80550292422","H6306","Sumer Roy","50","Male","Hypertension","2018-08-01","Shortness of Breath, None, Chest Pain","Valve Replacement","Obesity","Heart Disease"
"192315500287","H6105","Seher Sankaran","34","Female","Arrhythmia","2018-06-11","Shortness of Breath","","None, Smoking","Heart Disease"
"236427531316","H4388","Bhavin Koshy","30","Female","Hypertension","2016-01-09","Chest Pain, Fatigue, Dizziness, Shortness of Breath","","","No Significant History"
"92897835226","H2509","Aradhya Bora","35","Male","Heart Failure","2019-07-08","Dizziness, Palpitations","Valve Replacement","","No Significant History"
"491315159280","H2502","Nirvi Sahota","65","Female","Coronary Artery Disease","2017-09-07","Palpitations","Lifestyle Changes","Obesity","No Significant History"
"706493655632","H2241","Samiha Bera","45","Male","Heart Failure","2024-03-26","Dizziness, Shortness of Breath","Lifestyle Changes","Diabetes, Family History, None","Heart Disease"
"292840029389","H8102","Darshit Taneja","44","Male","Heart Failure","2023-07-22","Dizziness, Palpitations, Shortness of Breath","Angioplasty, Medication","High Cholesterol, Smoking, Obesity","No Significant History"
"793308075085","H7391","Ehsaan Banerjee","34","Female","Heart Failure","2017-01-31","Chest Pain, Shortness of Breath","None, Valve Replacement","Obesity, High Cholesterol","No Significant History"
"406160229127","H8457","Heer Dua","60","Female","Valve Disease","2021-02-01","","Lifestyle Changes","None","Heart Disease"
"631813259670","H7335","Aradhya Kala","40","Male","Arrhythmia","2022-01-13","Shortness of Breath, None","","Obesity","Heart Disease"
"261510795838","H9173","Saanvi Bora","49","Female","Valve Disease","2021-01-16","Palpitations","None, Lifestyle Changes","Family History","Heart Disease"
