"AadhaarCard","PatientID","Name","Age","Gender","Diagnosis","DiagnosisDate","Symptoms","Treatment","RiskFactors","FamilyHistory"
"335662049176","K6307","Pranay Saxena","78","Male","Kidney Stones","2019-07-04","","Lifestyle Changes, Dialysis","Diabetes, High Blood Pressure","Kidney Disease"
"571926230893","K6381","Tara Srivastava","43","Female","Kidney Failure","2021-10-26","Blood in Urine, None, Frequent Urination","","None, Smoking, High Blood Pressure","No Significant History"
"942487563892","K4269","Vardaniya Sharaf","67","Female","Nephrotic Syndrome","2020-02-29","High Blood Pressure, Swelling, Blood in Urine, Protein in Urine","","Diabetes, Obesity, None","Kidney Disease"
"253328384856","K9688","Kiaan Agate","68","Female","Kidney Failure","2016-01-19","Fatigue, Protein in Urine, Back Pain, None","Medication, Lifestyle Changes","Diabetes, Obesity, None","No Significant History"
"488773571480","K1072","Nirvaan Taneja","35","Male","Polycystic Kidney Disease","2016-06-19","Blood in Urine","Medication, None","","No Significant History"
"939958957272","K7591","Gatik Sane","55","Male","Polycystic Kidney Disease","2018-03-20","Frequent Urination, Swelling, Blood in Urine","Dialysis","","No Significant History"
"330412638729","K1816","Lagan Bhavsar","46","Male","Kidney Infection","2015-08-06","High Blood Pressure, Fatigue, Protein in Urine, Blood in Urine","Kidney Transplant","","No Significant History"
"283520072738","K9104","Mohanlal Lad","29","Female","Nephrotic Syndrome","2018-10-17","","None, Kidney Transplant","High Blood Pressure, Smoking, Diabetes","Kidney Disease"
"34465398742","K9476","Zaina Dubey","64","Male","Kidney Failure","2017-01-20","Blood in Urine","Dialysis","","No Significant History"
"234763344197","K8126","Armaan Sankar","46","Female","Kidney Infection","2017-12-21","Fatigue, Protein in Urine","None, Kidney Transplant","","No Significant History"
"55172888861","K4626","Anvi Ghose","63","Female","Kidney Stones","2023-01-01","Frequent Urination","Dialysis","","No Significant History"
"815695544646","K8399","Hridaan Tandon","33","Male","Kidney Stones","2017-11-14","Back Pain, High Blood Pressure, Frequent Urination, None","Medication","High Blood Pressure","No Significant History"
"993013273901","K2892","Anaya Cheema","80","Female","Kidney Infection","2015-02-22","Frequent Urination, Blood in Urine","Kidney Transplant, Dialysis","None, Diabetes","Kidney Disease"
"778594838125","K7703","Divyansh Acharya","67","Female","Kidney Infection","2021-12-24","Frequent Urination","None","","Kidney Disease"
"716412448584","K9013","Jivika Ranganathan","77","Male","Polycystic Kidney Disease","2019-10-10","High Blood Pressure, Blood in Urine, Back Pain, Protein in Urine","Lifestyle Changes, Dietary Changes","Smoking","Kidney Disease"
"721038184374","K5686","Kiara Saha","53","Female","Nephrotic Syndrome","2020-06-08","","Dietary Changes, None","High Blood Pressure","No Significant History"
"712437054367","K6102","Madhup Jani","50","Male","Chronic Kidney Disease","2021-07-09","Fatigue, High Blood Pressure, Swelling, None","","","Kidney Disease"
"584719224740","K9731","Indranil Chahal","76","Female","Polycystic Kidney Disease","2019-12-11","None, Back Pain","","None","Kidney Disease"
"789577850297","K3475","Vardaniya Chandran","65","Female","Kidney Infection","2022-04-08","Back Pain, High Blood Pressure","None, Lifestyle Changes","High Blood Pressure, Obesity, Family History","Kidney Disease"
"519623651583","K3335","Saira Sidhu","56","Female","Kidney Failure","2024-06-02","Fatigue, Frequent Urination, High Blood Pressure","Lifestyle Changes","","No Significant History"
"327080800332","K2385","Vedika Halder","76","Male","Polycystic Kidney Disease","2018-01-05","Frequent Urination, Blood in Urine, Fatigue, Back Pain","Kidney Transplant, Medication","High Blood Pressure, Obesity","No Significant History"
"169998658620","K8895","Faiyaz Bava","50","Female","Kidney Infection","2017-01-25","High Blood Pressure, Swelling","Dietary Changes, Dialysis","None","Kidney Disease"
"257546856758","K6676","Neysa Luthra","29","Male","Kidney Stones","2021-08-05","None, High Blood Pressure","","High Blood Pressure","Kidney Disease"
"37458572749","K9505","Nirvi Chandran","72","Female","Chronic Kidney Disease","2022-10-30","High Blood Pressure, Back Pain, Swelling, Protein in Urine","","Diabetes","No Significant History"
"657954613601","K5923","Ayesha Bhattacharyya","70","Female","Polycystic Kidney Disease","2016-07-12","Back Pain, High Blood Pressure, None, Swelling","None, Dialysis","High Blood Pressure","No Significant History"
"749963953548","K9203","Gokul Ramachandran","67","Male","Kidney Infection","2022-08-15","Frequent Urination","Lifestyle Changes","","No Significant History"
"711742167269","K8052","Armaan Sur","38","Male","Kidney Failure","2018-11-21","Back Pain, High Blood Pressure, Fatigue","Lifestyle Changes","None","No Significant History"
"344919644166","K4734","Azad Karnik","35","Female","Kidney Failure","2024-04-05","High Blood Pressure, Swelling","Kidney Transplant","Smoking","No Significant History"
"344771163051","K3586","Bhavin Chhabra","40","Male","Chronic Kidney Disease","2015-11-06","Blood in Urine, Back Pain","Dialysis, None","High Blood Pressure, Smoking","Kidney Disease"
"647569625871","K5336","Kanav Manda","40","Male","Chronic Kidney Disease","2015-11-04","","None, Dialysis","Smoking, Diabetes","No Significant History"
"32869475147","K2050","Divyansh Ramachandran","29","Male","Polycystic Kidney Disease","2016-09-01","None, Swelling, Back Pain, Frequent Urination","None, Medication","Obesity","No Significant History"
"668864123525","K6224","Divyansh Tailor","73","Male","Nephrotic Syndrome","2022-08-08","Blood in Urine, None, Swelling","","High Blood Pressure, Smoking, Obesity","No Significant History"
"418450059760","K9443","Kiara Bail","30","Male","Chronic Kidney Disease","2016-09-03","","Dietary Changes","Smoking","No Significant History"
"606351118136","K4070","Jivika Toor","26","Female","Kidney Failure","2022-11-23","Fatigue, Frequent Urination, Blood in Urine","","Obesity","No Significant History"
"708274296515","K4298","Siya Bassi","20","Male","Kidney Infection","2023-08-24","Back Pain, Protein in Urine, Swelling","Lifestyle Changes, None","Smoking, Family History","No Significant History"
"429268476838","K8752","Hrishita Hegde","56","Male","Polycystic Kidney Disease","2021-11-21","Swelling","None, Lifestyle Changes","Family History","No Significant History"
"382607663336","K2684","Riaan Mahajan","53","Male","Polycystic Kidney Disease","2020-06-28","None, Frequent Urination, Protein in Urine","","","Kidney Disease"
"286800811227","K8160","Krish Chad","29","Male","Chronic Kidney Disease","2020-05-21","Blood in Urine, High Blood Pressure","Medication","Family History","Kidney Disease"
"251419726343","K8092","Manjari Andra","71","Female","Kidney Infection","2021-04-28","Protein in Urine","Dietary Changes","None","Kidney Disease"
"695696614547","K3139","Dhruv Kota","36","Female","Chronic Kidney Disease","2020-02-16","Protein in Urine, Frequent Urination","Kidney Transplant","None, High Blood Pressure","No Significant History"
"33091804944","K3567","Lakshit Bhargava","47","Male","Kidney Failure","2023-01-19","Blood in Urine","Lifestyle Changes, Medication","","Kidney Disease"
"368552082993","K6735","Siya Ghose","51","Female","Nephrotic Syndrome","2021-10-31","Frequent Urination, Blood in Urine, Protein in Urine, Back Pain","Kidney Transplant","Obesity, Family History","Kidney Disease"
