"AadhaarCard","PatientID","Name","Age","Gender","Diagnosis","DiagnosisDate","Symptoms","Treatment","RiskFactors","FamilyHistory"
"852842654633","L9091","Gatik Rajagopalan","43","Male","Lung Cancer","2020-03-04","None, Chest Pain, Fever, Shortness of Breath","Medication","","Lung Disease"
"736919188342","L6772","Aarush Mammen","42","Female","Pulmonary Fibrosis","2021-12-15","Cough, Fatigue, Chest Pain","","Occupational Hazards, Exposure to Pollutants","Lung Disease"
"361171308955","L2678","Kismat Talwar","62","Male","Lung Cancer","2016-09-24","","","Smoking","Lung Disease"
"494991784519","L8615","Nayantara Bains","33","Male","Asthma","2017-10-11","Cough, Fever","","None","No Significant History"
"833606228260","L5460","Anika Rastogi","40","Female","Pneumonia","2023-04-21","Fatigue, Fever, Chest Pain","Surgery","Family History, Exposure to Pollutants, Smoking","Lung Disease"
"896664889284","L7254","Devansh Sur","31","Female","Tuberculosis","2017-06-28","Fever, Fatigue, Mucus Production","Pulmonary Rehabilitation, Inhalers","Occupational Hazards, Smoking, Family History","No Significant History"
"645935190415","L5017","Kabir Halder","34","Male","Asthma","2017-10-07","","Pulmonary Rehabilitation","Occupational Hazards, Smoking","No Significant History"
"798819287841","L5995","Inaaya  Subramanian","74","Male","Cystic Fibrosis","2019-03-11","Fever, Mucus Production","","Smoking, Occupational Hazards","Lung Disease"
"513346698839","L8776","Prisha Viswanathan","66","Male","Pulmonary Fibrosis","2017-10-26","Wheezing, Fatigue, Chest Pain, Cough","Oxygen Therapy","Exposure to Pollutants","Lung Disease"
"304885904304","L1783","Prerak Anand","54","Male","Asthma","2022-02-22","None, Shortness of Breath, Fever","Medication","Smoking, Occupational Hazards","No Significant History"
"501676408562","L8817","Tanya Sahota","52","Male","Asthma","2023-09-06","","Medication, Surgery","Smoking, None, Occupational Hazards","Lung Disease"
"685252744302","L4575","Rasha Suresh","42","Female","Asthma","2024-01-04","","None","Exposure to Pollutants","No Significant History"
"149652164630","L6675","Zoya Bose","32","Female","Asthma","2023-08-19","Fever, Shortness of Breath","","Exposure to Pollutants, Occupational Hazards","Lung Disease"
"2649455207","L9655","Reyansh Sama","73","Male","Pneumonia","2016-02-03","","Inhalers","Smoking","Lung Disease"
"922074934151","L7890","Riya Khalsa","80","Male","Asthma","2022-11-13","","Surgery, Oxygen Therapy","Family History","No Significant History"
"961400988174","L7907","Elakshi Ghose","34","Female","Cystic Fibrosis","2015-11-24","","","","No Significant History"
