"AadhaarCard","PatientID","Name","Age","Gender","Diagnosis","DiagnosisDate","Symptoms","Treatment","FamilyHistory"
"267324002686","O1045","Akarsh Sangha","25","Female","Osteoporosis","2021-11-27","Weakness, Swelling, Limited Mobility, Pain","Medication","Orthopedic Condition"
"215553634960","O6649","Aarav Karan","41","Female","Arthritis","2016-02-12","Swelling, None","Cast/Brace","Orthopedic Condition"
"549588795760","O4893","Miraan Salvi","78","Male","Joint Dislocation","2021-09-14","","None","Orthopedic Condition"
"744794350997","O2655","Navya Seth","86","Female","Sports Injuries","2016-06-27","","Cast/Brace, Surgery","Orthopedic Condition"
"384030660682","O7428","Dhruv Subramaniam","41","Male","Spinal Disorders","2018-09-26","Stiffness","Cast/Brace","Orthopedic Condition"
"58691236317","O6987","Vedika Korpal","64","Male","Sports Injuries","2021-10-09","","Cast/Brace, Assistive Devices","No Significant History"
"753154225808","O9930","Diya Ramakrishnan","22","Female","Osteoporosis","2023-05-07","Weakness, Limited Mobility, Swelling","","No Significant History"
"953070078761","O4693","Hansh Ramachandran","38","Female","Spinal Disorders","2022-06-30","None","","Orthopedic Condition"
"282195363423","O1363","Zara Saini","22","Female","Joint Dislocation","2023-02-01","Stiffness, Limited Mobility, None","","Orthopedic Condition"
"992186482049","O2881","Dhanuk Varty","66","Male","Ligament Tears","2021-04-03","Pain","Cast/Brace, Surgery","No Significant History"
"631584740973","O9781","Mahika Tandon","45","Female","Spinal Disorders","2016-05-29","None, Deformity, Weakness","None","Orthopedic Condition"
"380341557888","O7921","Adira Sandal","51","Male","Spinal Disorders","2015-08-23","None, Limited Mobility, Stiffness, Numbness","Physical Therapy, Cast/Brace","No Significant History"
"263785409246","O4016","Nitya Mander","12","Female","Ligament Tears","2017-03-07","Pain, Numbness, Stiffness, Limited Mobility","Surgery","No Significant History"
"26746790831","O4845","Jiya Salvi","46","Male","Osteoporosis","2016-02-18","Pain, Limited Mobility, Weakness","Surgery, Assistive Devices","No Significant History"
"594643168864","O5797","Tejas Sawhney","17","Female","Spinal Disorders","2018-04-25","None","Surgery, Physical Therapy","Orthopedic Condition"
"225501751549","O5473","Madhup Badal","23","Female","Osteoporosis","2015-01-01","Swelling, None","","No Significant History"
"119711761262","O8228","Ishita Majumdar","45","Male","Fracture","2016-07-23","Weakness, Pain, Numbness, Swelling","Assistive Devices","No Significant History"
"610222351948","O7159","Samiha Bose","21","Female","Osteoporosis","2018-12-25","Pain, Limited Mobility, None, Numbness","","Orthopedic Condition"
"501131053562","O9435","Kavya Krish","25","Female","Arthritis","2018-11-09","Weakness","Medication","Orthopedic Condition"
"142519222005","O1706","Parinaaz Luthra","58","Female","Fracture","2017-06-28","Weakness, Pain, Deformity","","Orthopedic Condition"
"29363009730","O2452","Manikya Mandal","56","Female","Sports Injuries","2023-03-09","","Surgery","Orthopedic Condition"
"537998540430","O4458","Miraan Chanda","32","Female","Fracture","2019-05-16","Limited Mobility, Stiffness","None","No Significant History"
"564295515518","O9724","Seher Kashyap","26","Female","Arthritis","2020-07-30","None, Deformity, Swelling, Stiffness","","No Significant History"
"820574353820","O7168","Prerak Swaminathan","72","Male","Osteoporosis","2022-08-14","Stiffness, Swelling, None","","No Significant History"
"369165039385","O4923","Heer Anne","48","Female","Osteoporosis","2020-05-31","Pain","Medication","No Significant History"
"367369500269","O6570","Farhan Mallick","61","Female","Ligament Tears","2023-08-30","Stiffness, None, Limited Mobility, Swelling","Physical Therapy","Orthopedic Condition"
"950396660212","O8103","Pari Badal","53","Female","Spinal Disorders","2017-10-02","Pain, Limited Mobility, Deformity, Stiffness","","Orthopedic Condition"
"598212977516","O8495","Ishita Venkatesh","69","Female","Spinal Disorders","2022-07-15","None, Limited Mobility","Medication, Physical Therapy","Orthopedic Condition"
"721458717543","O2314","Bhamini Atwal","38","Female","Fracture","2014-07-23","None, Stiffness, Numbness, Limited Mobility","Assistive Devices, None","No Significant History"
"412770015921","O1206","Gokul Mahajan","50","Female","Ligament Tears","2019-10-31","Stiffness, Deformity, Pain, None","Cast/Brace, None","Orthopedic Condition"
"697517566771","O2719","Abram Dash","42","Male","Sports Injuries","2017-03-14","Numbness, Weakness, Pain","Cast/Brace","Orthopedic Condition"
"127967706389","O3813","Samiha Bahri","61","Female","Osteoporosis","2017-06-27","Numbness, Deformity, Pain, Limited Mobility","Surgery","No Significant History"
"106245513238","O6512","Hansh Sidhu","25","Female","Arthritis","2021-06-10","","Physical Therapy","Orthopedic Condition"
"867325932805","O4398","Alia Basak","21","Female","Fracture","2020-11-06","Numbness","Cast/Brace, None","Orthopedic Condition"
"241636812606","O7615","Ranbir Grover","26","Female","Spinal Disorders","2019-10-27","Deformity","Assistive Devices, Surgery","Orthopedic Condition"
"65968858237","O1071","Nirvaan Halder","65","Female","Osteoporosis","2016-06-26","None","Surgery","Orthopedic Condition"
"245606981267","O3288","Samaira Bansal","84","Male","Arthritis","2016-01-30","Weakness, Limited Mobility, Stiffness, Pain","Physical Therapy","Orthopedic Condition"
"160119026571","O2344","Eva Bajwa","75","Male","Fracture","2017-05-22","Limited Mobility, Stiffness","","Orthopedic Condition"
"969606494691","O3968","Hunar Chandran","64","Female","Spinal Disorders","2017-09-14","None, Limited Mobility, Deformity, Numbness","Surgery","No Significant History"
"702337991422","O1810","Emir Mander","15","Female","Sports Injuries","2024-02-05","Stiffness","","Orthopedic Condition"
"3437103946","O6561","Rohan Hora","54","Male","Fracture","2020-08-25","","","No Significant History"
"333434376713","O1982","Neysa Acharya","63","Male","Arthritis","2023-02-15","Deformity","None, Surgery","Orthopedic Condition"
"687698991178","O6305","Oorja Gokhale","65","Female","Joint Dislocation","2023-02-23","Deformity, Stiffness, None, Weakness","Surgery, Cast/Brace","No Significant History"
"340196989616","O2229","Tiya Buch","77","Female","Joint Dislocation","2014-08-26","","","No Significant History"
"824740909568","O3864","Stuvan Kala","11","Male","Osteoporosis","2017-03-23","Stiffness, Weakness, Pain","","Orthopedic Condition"
"319713312714","O9715","Saksham Kala","71","Male","Sports Injuries","2023-01-25","Deformity, Limited Mobility, Weakness, None","Surgery","Orthopedic Condition"
"711414857705","O9320","Samaira Kata","75","Female","Joint Dislocation","2021-04-05","Stiffness, None","","No Significant History"
"173516725574","O5179","Devansh Balakrishnan","19","Female","Arthritis","2015-11-07","","","Orthopedic Condition"
"28291438071","O7905","Neysa Deol","42","Male","Arthritis","2016-11-01","Numbness","","No Significant History"
"657690862807","O3225","Dhanuk Kant","12","Female","Sports Injuries","2023-02-13","Swelling, Pain, Stiffness, Numbness","Medication","No Significant History"
"653965014413","O6412","Saksham Thaman","21","Male","Sports Injuries","2018-05-05","Numbness, None, Limited Mobility, Stiffness","","Orthopedic Condition"
"726307046252","O8245","Lavanya Barad","41","Male","Joint Dislocation","2021-10-21","","None, Medication","Orthopedic Condition"
"762292622581","O4252","Shanaya Dora","68","Male","Joint Dislocation","2015-07-13","","","No Significant History"
"346056918703","O2436","Priyansh Sha","54","Female","Fracture","2016-11-11","Stiffness","Cast/Brace","Orthopedic Condition"
"641049920168","O9234","Sara Bassi","15","Male","Osteoporosis","2017-11-01","","","No Significant History"
"51502648499","O3576","Vardaniya Badal","42","Female","Sports Injuries","2019-05-26","","","Orthopedic Condition"
"336812230057","O8734","Anahita Doshi","20","Male","Fracture","2015-07-26","None, Deformity","","No Significant History"
"257123592152","O9410","Anya Sant","67","Male","Sports Injuries","2019-12-31","","","Orthopedic Condition"
"774051696409","O4340","Stuvan Gara","42","Male","Ligament Tears","2018-03-30","","Surgery","No Significant History"
"30623101796","O4903","Nayantara Chandra","25","Female","Osteoporosis","2020-10-18","","","Orthopedic Condition"
"883705538242","O7710","Aayush Shan","82","Female","Osteoporosis","2023-04-28","","Assistive Devices, Physical Therapy","Orthopedic Condition"
"818964289675","O5701","Veer Deol","63","Male","Osteoporosis","2017-05-31","None","Assistive Devices, Medication","Orthopedic Condition"
"240123320394","O6123","Samiha Lad","41","Male","Osteoporosis","2022-04-29","Weakness, Deformity, Stiffness","Cast/Brace","No Significant History"
"124606043097","O6378","Vihaan Thakur","43","Male","Fracture","2020-12-17","Numbness, Pain, Deformity, Limited Mobility","Physical Therapy, Medication","Orthopedic Condition"
"965538505395","O2972","Piya Bansal","24","Male","Osteoporosis","2020-01-24","None, Numbness, Swelling, Deformity","","Orthopedic Condition"
"60218500256","O7768","Shlok Iyengar","68","Female","Spinal Disorders","2020-02-28","","","No Significant History"
"977346402374","O2081","Priyansh Bandi","79","Male","Sports Injuries","2015-05-22","Pain, Weakness, Numbness, Stiffness","Surgery, Cast/Brace","Orthopedic Condition"
"387890605206","O3161","Himmat Chaudhuri","85","Male","Joint Dislocation","2016-12-31","Limited Mobility, Stiffness","","No Significant History"
"493551993195","O5627","Jayesh Choudhury","74","Female","Fracture","2016-01-25","Stiffness","None","Orthopedic Condition"
"898130913286","O2649","Darshit Kunda","30","Female","Joint Dislocation","2016-01-26","Numbness, Swelling, Pain","Assistive Devices","No Significant History"
"952358669845","O2162","Misha Balakrishnan","26","Male","Arthritis","2024-03-24","Swelling","","No Significant History"
"457267275944","O5212","Yasmin Issac","81","Female","Ligament Tears","2015-02-17","Stiffness, None","Medication","Orthopedic Condition"
"835978474573","O8505","Stuvan Date","10","Male","Spinal Disorders","2019-11-15","Pain, None, Limited Mobility, Weakness","","No Significant History"
"116159479777","O1626","Diya Shroff","65","Female","Ligament Tears","2021-04-18","Weakness, Deformity, Limited Mobility, None","Cast/Brace, Surgery","No Significant History"
"189474582249","O2649","Badal Barad","24","Female","Osteoporosis","2019-08-26","Limited Mobility, Pain, Stiffness, Swelling","","Orthopedic Condition"
"8106654070","O1137","Gatik Walla","19","Male","Sports Injuries","2022-01-10","Weakness, Swelling","Assistive Devices","No Significant History"
"451676322661","O2912","Saksham Apte","67","Female","Sports Injuries","2022-04-25","Limited Mobility, Swelling, Numbness, None","","Orthopedic Condition"
"431961462036","O9131","Romil Banerjee","47","Female","Joint Dislocation","2016-05-08","None, Deformity, Weakness","","No Significant History"
"834936780474","O6373","Shamik Shroff","55","Male","Arthritis","2020-05-02","Limited Mobility, None, Deformity","","Orthopedic Condition"
"433049169412","O2246","Rati Zachariah","85","Female","Sports Injuries","2015-07-29","Swelling, Stiffness","Physical Therapy, Medication","Orthopedic Condition"
"111909651409","O8170","Kimaya Kumar","61","Female","Sports Injuries","2022-09-01","","Physical Therapy, Assistive Devices","Orthopedic Condition"
"553588667248","O2631","Rania Mand","26","Female","Ligament Tears","2015-10-04","","","No Significant History"
"75811167241","O1646","Saksham Jhaveri","66","Female","Joint Dislocation","2023-02-11","","Cast/Brace","No Significant History"
"176689814938","O8189","Zoya Sharaf","45","Female","Ligament Tears","2021-03-16","Stiffness, None, Swelling, Pain","None, Cast/Brace","Orthopedic Condition"
"853240420227","O6095","Shanaya Buch","24","Male","Ligament Tears","2019-02-05","","Physical Therapy, Medication","No Significant History"
"683913808125","O8975","Mohanlal Dash","63","Female","Spinal Disorders","2020-08-02","Pain","Cast/Brace","No Significant History"
"469769929736","O3662","Gatik Basak","82","Female","Osteoporosis","2014-08-20","Stiffness","","Orthopedic Condition"
